partyid,pnintst,watchnat,educad,readnews,gender,income,white,Info_Proposition,support,Watched_Program,Encouraged_to_Watch
1,4,4,11,2,0,5,1,4,1,0,1
2,4,6,9,7,0,2,1,3,1,1,1
7,4,7,11,7,1,3,1,3,NA,1,1
1,4,6,11,7,1,7,1,3,1,1,1
2,3,6,11,7,0,9,1,4,1,0,0
2,2,6,6,7,0,2,1,4,1,0,1
7,4,7,12,7,0,5.900900900900901,0,3,0,0,1
7,3,1,12,6,1,6,1,2,0,0,0
6,3,6,11,1,1,4,1,3,1,0,0
2,3,6,11,6,0,6,0,2,1,0,1
2,2,6,12,7,1,11,1,4,1,0,0
1,4,7,11,7,0,10,1,4,1,0,0
6,4,7,4,1,1,5.900900900900901,1,3,NA,0,1
2,4,7,9,6,1,4,1,4,1,0,0
2,3,7,7,7,1,3,1,3,1,0,1
3,3,6,11,5,1,4,1,4,0,0,0
2,3,7,11,6,0,7,1,3,1,1,1
1,3,7,8,5,1,6,1,3,1,0,1
7,2,6,7,3,1,5,0,3,0,0,1
3.5060975609756095,2,7,2,1,1,1,1,3,1,0,1
1,4,7,2,7,1,3,0,4,1,0,0
2,2,6,11,4,0,4,1,3,1,0,0
7,3,5,12,7,0,11,1,4,1,1,1
6,2,6,11,1,1,3,0,2,1,0,1
1,4,6,9,7,0,5.900900900900901,0.7766599597585513,4,1,0,0
2,3,6,9,1,1,5,0,3,1,0,0
2,3,1,6,7,1,6,1,4,1,0,1
1,4,7,13,7,0,5.900900900900901,1,4,1,1,1
2,3,2,11,7,1,8,1,4,1,0,1
2,4,4,8,7,0,3,1,4,0,0,1
3,2,6,4,2,0,4,1,2,0,0,0
1,3.274703557312253,6.101593625498008,4,6,0,5.900900900900901,0,2,1,1,1
3,4,6,11,7,0,5,1,4,1,1,0
6,2,7,4,1,1,2,0,3,NA,1,1
5,2,7,9,7,0,11,0,1,1,0,0
1,4,7,9,7,0,8,0,3,1,0,0
7,4,7,11,7,1,2,1,4,NA,0,0
3,3,7,11,5,0,7,0,2,1,1,0
4,4,7,4,6,0,5,1,4,1,0,1
1,4,6,12,7,0,11,1,4,1,0,1
2,3,6,11,1,1,6,1,3,1,0,1
5,3,6,11,5,0.54216867469879515,3,1,3,1,0,1
6,2,6,10,4,0,4,1,3,0,0,1
5,4,7,12,7,0,6,1,3,0,1,1
7,4,6,12,7,0,5.900900900900901,1,3,0,1,1
4,2,7,4,5,0,2,0,2,1,0,0
3,3,7,4,1,0,10,1,3,1,0,1
1,4,7,9,7,1,5.900900900900901,1,4,1,0,0
1,3,7,4,6,1,6,1,4,1,0,0
3.5060975609756095,2,3,3,5,1,5.900900900900901,0,2,1,0,0
1,4,7,11,7,0,3,1,4,1,0,1
3.5060975609756095,3,7,11,7,0,4,0,2,0,0,1
2,4,7,11,7,1,5.900900900900901,1,4,1,1,1
7,3,6,11,6,1,5,0,3,0,0,0
1,3,1,11,5,1,5.900900900900901,1,3,1,1,1
4,3,7,11,7,0,3,1,2,1,0,1
1,3,5,8,7,0,10,1,2,NA,0,1
5,2,7,8,2,1,5.900900900900901,0,3,1,0,1
6,3,6,4,2,1,4,1,2,NA,0,0
2,2,7,11,6,1,7,1,3,1,0,1
7,3,6,7,5,1,5,1,3,0,0,0
7,4,7,13,7,0,4,1,4,NA,0,0
2,4,7,11,7,0,11,1,2,0,0,0
2,3,7,11,7,1,4,1,4,0,1,1
5,4,7,9,7,0,3,1,4,1,0,1
2,2,4,6,4,0,6,1,3,1,0,0
2,3,4,11,4,1,10,1,3,1,0,1
5,4,7,9,5,0,5.900900900900901,0,3,1,0,1
1,4,7,9,6,0,7,1,1,1,0,0
3,3,7,9,2,0,5,1,3,0,0,1
2,4,7,11,6,1,11,1,4,1,1,1
2,2,7,4,6,0,4,1,3,1,0,1
2,3,1,4,6,1,11,0,2,1,0,1
1,3,7,11,6,0,3,1,3,0,0,1
2,4,7,12,1,0,4,1,4,1,0,0
1,3,7,4,1,1,1,0,4,NA,0,1
1,4,6,9,5,1,5,1,3,1,0,0
4,2,4,10,5,1,2,1,3,1,0,0
3,3,7,11,7,1,10,1,4,1,0,0
6,3,6,4,5,1,2,0,2,0,1,1
2,3,6,12,5,0,6,0,4,0,0,1
6,4,7,7,7,0,6,0.7766599597585513,4,0,1,1
5,3,7,4,1,0,3,0,4,1,0,0
6,4,7,12,7,0,4,1,2,0,1,1
5,1,5,1,5,0,5.900900900900901,1,3,0,0,0
7,4,7,11,5,1,10,0,4,0,0,1
6,3,6,11,7,0,11,1,4,1,1,1
6,4,7,12,7,0,4,1,4,1,0,0
2,2,6,4,6,1,9,1,2,1,0,1
1,4,7,4,7,0,6,1,4,1,1,1
7,4,7,11,6,0.54216867469879515,4,0,4,0,0,1
2,4,5,8,6,0,11,1,NA,NA,0,1
1,4,7,9,7,1,3,0,3,1,0,0
5,3,6,9,5,0,3,0,2,NA,0,0
5,3,7,4,6,0,3,0,3,0,0,0
2,4,7,7,7,1,11,1,3,1,0,0
3.5060975609756095,3,7,9,7,1,5.900900900900901,0,4,NA,0,0
6,3,7,11,5,0,3,1,3,1,1,1
6,2,3,4,2,1,4,0,3,0,1,1
2,3,7,9,6,1,7,1,2,1,0,0
3,4,7,9,7,0,4,1,4,1,0,1
1,4,7,13,7,1,6,1,4,NA,1,1
3,4,7,13,7,0,9,0,4,1,1,1
1,4,7,7,7,1,5.900900900900901,1,4,1,0,1
4,2,7,11,4,0,2,1,3,1,0,1
2,2,7,11,6,0,11,1,1,NA,0,0
6,2,7,8,5,1,1,1,3,0,0,0
1,4,7,7,7,1,5.900900900900901,0,4,1,0,0
2,1,1,11,6,1,5.900900900900901,1,4,1,0,1
6,3,7,8,5,1,6,1,3,1,0,0
4,3,7,13,7,0,11,1,4,0,0,1
1,3,5,9,6,0,7,1,3,1,0,0
1,4,7,10,7,1,8,1,4,1,1,1
4,3,7,7,7,0,5.900900900900901,1,4,1,1,1
4,3,7,4,5,1,6,1,4,NA,0,1
4,4,6,9,5,0,4,1,4,0,0,0
5,3,7,8,5,0,4,0,2,0,0,0
3.5060975609756095,3,6,13,4,0,11,1,3,1,0,0
3,4,7,9,7,1,4,1,4,1,0,0
4,4,7,11,6,1,3,0,4,0,0,0
1,3,6,12,3,0,10,0,4,1,0,0
3,3,7,12,7,0,1,1,4,1,0,0
4,2,7,11,6,0,5,0,4,0,1,1
2,4,7,12,7,0,11,1,4,1,0,0
4,3,7,8,4,1,1,1,3,1,0,0
4,4,3,11,1,1,4,1,1,NA,0,0
5,2,7,4,1,0,4,1,3,NA,0,0
1,4,7,9,7,1,5,0,2,0,0,1
6,3,6,9,4,0,5,1,3,1,0,0
6,3,7,10,6,1,6,1,4,0,1,1
5,2,6,11,2,1,4,1,NA,NA,0,1
6,2,7,11,5,1,1,1,2,1,0,0
2,3,1,9,5,1,11,1,3,1,0,1
2,4,6,7,1,0,7,1,3,1,0,0
7,3,5,9,5,0,5,0,2,0,0,1
1,4,7,10,3,1,3,1,4,1,1,1
6,4,7,12,7,0,6,1,4,1,0,0
7,4,5,4,7,1,5.900900900900901,1,2,NA,0,1
1,3,6,12,7,0,4,1,3,1,0,1
5,4,2,11,5,0,1,1,2,0,0,0
6,2,6,9,7,1,5,1,2,0,1,1
3,3,5,11,5.5009900990099005,0,6,1,4,1,1,1
6,2,7,11,7,1,5,1,3,1,0,0
4,4,3,11,7,0,5.900900900900901,1,4,1,1,1
1,4,7,11,7,0,11,1,4,1,1,1
1,3,6,9,5,0,11,1,1,NA,0,0
1,4,7,11,7,0,10,1,4,0,0,0
3,2,6,4,1,0,4,1,3,1,0,1
4,3,7,10,7,0,5.900900900900901,1,3,1,0,1
2,3,7,11,6,0,11,0,4,0,1,1
1,4,7,8,7,1,4,1,4,1,0,0
7,3,6,2,3,1,4,0,3,1,1,0
7,2,7,1,2,1,3,0,3,1,1,0
3.5060975609756095,4,6,11,7,1,8,1,3,0,1,1
3,3,4,11,6,0,11,1,4,0,0,1
5,4,7,9,7,0,7,1,4,0,1,1
7,3,7,12,5,1,3,1,4,0,1,1
1,3,7,12,7,0,11,1,3,NA,0,1
6,4,7,11,2,0,6,1,1,0,1,1
3,3,7,12,7,1,10,1,2,NA,0,0
6,3,7,9,5,1,11,0,3,1,0,0
7,3,1,13,7,0,11,1,3,0,0,0
6,4,7,4,7,0,4,1,4,0,0,0
2,4,7,8,7,0.54216867469879515,3,1,4,1,0,1
2,4,7,11,7,0,11,1,3,NA,0,0
5,3,7,9.142574257425743,7,1,5.900900900900901,1,4,NA,0,0
2,2,7,11,2,0,10,0,2,0,0,0
2,2,7,9,7,0.54216867469879515,5,1,2,1,0,1
2,3,7,11,7,0,11,0,3,1,1,1
2,4,6,11,6,0,2,1,2,1,0,0
1,3,6.101593625498008,13,1,1,8,1,3,1,0,1
1,4,6,2,1,1,3,1,4,1,1,1
3,4,7,11,7,0,9,1,4,1,0,0
1,4,6,7,3,1,3,1,3,NA,0,0
4,4,7,10,1,1,5.900900900900901,1,4,1,1,1
7,4,5,6,7,0,5.900900900900901,1,4,0,0,0
2,2,7,11,7,0,4,1,3,1,0,0
7,4,7,10,1,0,1,0,2,0,0,1
4,3,6,13,5,0,5.900900900900901,1,3,NA,0,0
2,3,6,9,1,1,8,1,1,1,0,1
1,4,2,12,2,0,7,1,4,1,1,1
1,4,7,12,7,1,3,1,4,NA,0,0
1,4,6.101593625498008,7,1,0,6,1,3,1,1,1
5,4,7,11,1,0,3,1,3,0,0,0
1,4,7,11,7,0,8,1,4,1,1,1
3,4,6,4,7,1,6,1,4,1,0,1
7,3,6,10,1,1,5,0,2,1,0,0
2,1,7,9,7,1,5,1,3,NA,0,0
2,3,2,11,7,0,7,1,4,1,0,0
1,4,6,11,6,0.54216867469879515,4,1,4,1,0,1
1,3,7,11,6,1,11,1,3,1,1,1
1,4,7,12,7,0,11,1,4,1,0,0
4,3,6,11,4,1,3,1,3,NA,0,0
6,4,7,11,7,1,5.900900900900901,1,4,NA,1,1
2,2,7,4,2,1,5,1,1,1,0,0
2,4,7,11,7,0,5,1,4,1,1,1
6,3,7,11,7,1,11,1,3,0,0,1
7,3,5,10,5,1,2,0,3,0,1,1
2,3,5,12,7,1,6,1,4,0,0,1
3,4,1,5,1,1,6,1,4,1,1,1
3,3,5,11,6,1,3,1,4,1,0,0
2,1,6,9,3,1,4,0,4,0,1,1
2,2,5,5,6,0,3,1,3,0,1,1
1,2,1,7,6,1,5,1,3,1,0,0
4,1,4,4,1,1,2,0,4,0,0,1
5,2,6,11,5,0,5,1,3,NA,0,0
2,4,6,11,7,0,6,1,4,1,0,0
3,3,7,11,1,1,2,1,2,NA,0,0
6,2,4,7,4,0,6,1,3,1,1,1
6,3,6,12,7,1,11,1,4,1,0,0
1,4,5,13,7,1,10,0,3,0,0,0
2,3,6,6,1,1,4,0,4,0,1,1
6,3,7,11,5,1,5,1,3,0,0,0
2,1,1,11,1,0,7,1,NA,NA,0,1
6,4,6,13,7,0,9,0.7766599597585513,3,0,0,1
6,3,1,11,1,1,11,0,3,0,0,0
6,3,6,12,6,0,9,0,2,1,1,1
1,3,5,9.142574257425743,7,1,5.900900900900901,0.7766599597585513,4,1,0,0
7,4,6,10,7,1,6,1,3,1,0,0
7,3,7,9,5,0,6,1,4,1,0,0
4,4,7,11,1,1,9,0.7766599597585513,2,1,0,1
2,2,7,9,1,0,7,0,2,NA,0,0
6,3,5,11,7,0,9,0,4,0,1,1
3.5060975609756095,3,7,9,7,1,6,1,2,NA,0,0
1,4,7,9,7,1,4,1,4,1,1,1
6,2,3,11,3,1,5,1,4,1,0,0
6,3,7,9,6,0,2,1,4,1,0,0
2,4,7,4,7,1,8,1,4,1,0,1
7,3,6,9,6,1,11,0,3,0,1,1
6,3,7,11,7,0,10,1,NA,NA,0,1
7,3,6,9,5,1,8,1,3,0,0,0
4,4,7,4,7,0,5.900900900900901,1,4,NA,0,0
5,4,7,9,7,0,5,1,4,0,0,0
1,4,6,9,1,0,5,1,3,1,0,0
6,4,6,2,7,1,8,1,3,1,0,0
6,4,7,11,3,1,6,0,3,0,1,1
7,4,7,11,7,0,5,1,4,0,0,0
3.5060975609756095,1,7,11,7,0,8,1,3,1,0,1
2,2,6,9,5,1,5,1,2,1,0,0
1,4,5,9,7,1,6,1,3,1,1,1
2,3,7,5,7,1,4,1,4,1,0,0
1,4,7,10,5,1,3,1,4,1,0,1
1,2,6,7,6,0,5,1,4,0,0,0
1,3,7,12,7,0,5.900900900900901,1,4,NA,0,1
3,3,7,8,1,1,5.900900900900901,1,NA,1,0,0
5,4,6,4,7,1,2,1,4,1,1,0
1,4,5,10,7,1,4,1,3,0,0,0
6,3,7,11,7,1,1,1,4,0,1,1
2,3,6,11,7,0,9,1,3,0,0,0
6,3,6,12,7,1,11,1,NA,NA,0,1
2,4,6,12,5,1,10,1,3,1,0,0
6,3,4,11,3,0,2,1,3,0,0,1
5,3,6,4,6,0,3,1,3,1,0,1
1,4,7,11,7,1,3,1,4,1,1,1
7,4,6,12,7,0,11,1,4,0,0,0
2,3,7,13,7,0,11,1,4,1,0,1
6,4,7,11,7,1,9,1,4,0,1,1
1,4,7,13,7,0,11,1,3,1,1,1
2,3,6,7,1,0,5,0,2,1,0,0
5,4,7,11,7,0,4,1,4,0,1,1
5,2,5,9,1,0,11,1,1,0,0,0
2,3,7,9,5,0,3,1,2,1,0,1
2,3,6,8,5,1,5,1,2,1,0,1
3,3,5,4,5,1,3,1,1,0,0,0
1,4,7,9,7,1,3,1,3,1,0,1
1,4,5,11,7,0,7,1,4,1,0,0
6,3,5,12,7,1,5.900900900900901,1,4,0,1,1
7,2,1,9,5,0,4,1,3,NA,0,1
7,3,7,11,7,1,4,1,3,1,1,1
2,2,7,12,7,0,3,0,4,NA,0,0
2,3,6,11,1,0.54216867469879515,5.900900900900901,1,2,NA,0,1
7,4,7,9,7,1,2,1,4,0,1,1
1,4,7,4,2,0,4,1,3,1,0,0
1,4,7,11,7,1,7,1,4,1,0,0
5,4,7,11,6,0,5.900900900900901,1,4,1,0,1
6,2,5,4,5,1,6,1,2,1,0,0
1,4,6.101593625498008,9,1,0,5.900900900900901,1,4,1,0,0
1,4,7,11,7,1,8,1,3,1,0,0
6,4,7,11,7,0,3,1,3,0,1,1
3.5060975609756095,4,3,9,7,1,5.900900900900901,0,2,NA,0,1
1,4,7,11,7,1,5.900900900900901,1,4,0,1,1
6,4,6,11,6,0,3,0,4,0,0,0
7,4,6,12,5,1,11,1,3,0,1,1
1,4,7,4,7,0,10,1,3,1,0,1
5,3,6,11,7,0,8,1,4,1,1,1
1,3,7,11,7,1,4,1,3,1,0,0
3.5060975609756095,4,7,12,7,0,4,1,4,1,0,0
6,1,7,3,1,0,2,0,3,0,1,1
2,4,7,10,1,1,2,1,3,1,0,0
6,4,6,11,6,0,2,1,4,0,1,1
2,4,6,12,7,1,4,1,3,0,0,1
7,3,7,9,7,1,4,1,4,1,0,1
5,2,7,10,6,1,4,0,3,1,0,0
1,4,5,11,7,0,11,1,4,1,0,1
3.5060975609756095,4,6,11,5,0,5.900900900900901,0,4,NA,0,0
3,4,7,12,7,1,5.900900900900901,1,4,1,1,1
1,3,6,4,5,0,4,1,3,0,0,0
3,4,7,12,6,0,11,1,3,NA,0,0
1,4,5,11,6,1,3,1,3,0,0,1
7,4,7,13,7,1,11,1,3,0,0,1
2,4,6,9,7,0,4,1,4,1,1,1
1,4,6,11,7,1,11,1,4,0,1,1
7,4,7,11,7,0,1,0.7766599597585513,1,1,0,0
1,4,7,9,7,1,5.900900900900901,1,4,1,0,0
6,4,6,11,7,0,7,1,4,1,0,0
2,2,6,8,7,0,4,0,4,0,1,1
2,3,6,13,7,0,8,1,4,NA,0,1
6,4,7,9,3,1,3,1,2,0,0,0
1,4,2,13,7,1,5.900900900900901,1,4,1,1,1
6,3,7,11,5,0,5,0,2,0,0,0
1,3,6,11,7,0,8,1,3,1,1,1
7,3,7,8,6,0,4,0,4,0,0,0
6,3,6,2,5,0,3,0,3,1,0,0
1,4,6,6,7,0.54216867469879515,4,1,4,1,1,1
2,3,7,8,7,0,4,1,4,1,0,0
7,4,5,11,6,1,4,1,3,0,0,0
1,3,7,11,7,0,5,1,4,1,0,0
1,4,6,11,7,0,6,0,4,0,0,0
1,4,7,11,7,1,6,1,4,1,0,0
7,4,7,9,7,1,3,1,4,1,0,1
3,3,7,11,7,1,4,1,3,0,1,1
7,4,7,12,7,0,5,1,4,0,1,1
7,4,6,12,7,0,6,1,4,0,0,0
7,4,3,11,4,1,1,0,3,0,0,1
1,4,7,10,7,1,9,1,4,1,0,1
2,3,6,13,6,0,7,0,3,1,0,0
5,3,7,11,6,1,1,1,4,0,0,0
6,3,4,4,2,1,1,0,3,NA,0,1
5,2,2,4,1,0,5,1,3,1,0,0
1,4,7,10,7,1,2,1,3,1,0,1
2,2,7,11,6,1,7,1,4,1,1,1
1,4,6,9,6,1,10,1,4,1,1,1
1,3,7,9,5,1,4,1,3,NA,1,1
3.5060975609756095,1,4,9,1,1,5,0,2,NA,0,1
3,4,7,11,6,1,10,1,3,0,0,0
2,3,4,11,6,1,11,1,3,0,0,0
1,4,6,12,7,0,8,1,4,1,0,0
1,3,6,9,1,1,8,1,1,1,0,1
1,3,6,4,6,0,3,1,3,1,0,0
2,4,7,11,7,1,3,1,3,1,0,1
4,2,7,4,1,1,2,0,1,NA,0,0
2,3,6,4,5,1,5,1,3,1,0,0
2,3,7,4,1,1,5.900900900900901,1,4,0,0,0
2,2,6,8,4,1,6,1,2,NA,0,0
2,2,7,4,7,1,1,1,3,1,0,1
5,4,7,6,7,0,4,1,4,1,0,0
2,3,6,11,4,1,8,1,2,1,0,1
7,4,7,12,7,1,3,1,3,0,0,0
5,3,7,4,6,0,1,0,3,0,0,1
7,4,6,8,7,1,5.900900900900901,1,3,0,0,0
6,4,6,11,7,0,11,1,4,1,1,1
1,4,6,11,7,0,5.900900900900901,1,4,1,0,1
3,4,7,11,7,0,11,1,4,1,1,1
5,4,7,11,7,1,10,1,3,1,0,0
6,3,6,4,6,1,5.900900900900901,0,4,0,0,0
4,3,4,12,6,0,5,0,4,NA,1,1
2,2,7,4,4,0,7,1,3,1,1,1
2,4,7,10,7,0,4,1,3,1,0,0
5,4,6,12,7,0,9,1,4,0,0,0
3,2,6,11,6,0.54216867469879515,4,0,3,1,1,1
7,4,5,11,7,1,9,1,4,0,1,1
1,4,7,8,7,0,6,1,3,1,1,1
7,3,7,11,7,1,6,1,3,0,0,0
1,4,7,11,7,0,4,1,4,1,0,0
6,3,7,11,5,0,4,1,4,0,0,1
7,4,4,4,6,1,7,0,4,0,1,1
3.5060975609756095,3,6,4,5,0,4,0,NA,NA,0,0
6,3,7,11,5,1,4,0,3,0,0,0
6,3,7,11,6,1,6,0,3,1,0,0
4,4,7,11,7,1,11,1,4,0,1,1
2,4,7,11,6,1,6,1,4,1,0,0
1,4,7,4,3,1,3,1,4,1,0,1
7,4,6,12,7,1,11,0,4,0,0,0
5,3,7,13,7,0,8,0,4,0,0,1
1,3,7,7,7,1,5.900900900900901,1,4,NA,0,0
4,2,5,11,1,0,5.900900900900901,1,3,1,1,0
1,4,6,8,6,1,8,1,4,NA,0,0
1,4,7,9,7,0,6,1,4,1,0,0
1,4,7,12,7,0,6,0.7766599597585513,4,1,0,0
1,4,4,4,7,0,6,1,3,1,1,1
6,3,7,4,7,1,3,1,2,1,0,0
2,3,6,8,7,0.54216867469879515,6,1,3,1,0,0
3,4,3,12,7,0,9,1,3,1,0,0
1,3,6,11,7,1,10,0.7766599597585513,3,1,0,1
7,4,7,11,7,0,11,0,4,0,0,0
1,4,7,11,7,0,10,1,4,1,0,0
4,1,7,8,7,1,3,0,4,NA,1,1
1,3,7,9,4,1,2,1,2,0,0,0
2,3,6,10,6,1,5.900900900900901,0,3,1,0,0
7,4,7,6,5,1,6,1,NA,NA,0,0
1,4,7,9,7,0,11,1,4,1,1,1
6,3,7,9,7,1,11,1,3,1,0,1
7,4,6,4,7,0,5,0,2,0,0,1
5,1,7,4,1,0,3,1,2,NA,0,1
6,3,6,4,7,1,2,0,2,1,1,1
6,1,7,4,1,1,3,0,1,1,0,1
2,3,7,10,5,1,10,1,3,1,0,1
1,4,7,12,7,1,8,1,3,1,0,1
1,4,7,9,7,1,11,1,2,NA,0,0
5,3,7,4,5,1,5.900900900900901,1,3,1,0,0
6,4,7,9,5,1,7,1,3,1,0,0
7,3,4,11,6,1,4,1,4,0,0,0
1,3,6,11,6,1,4,1,3,1,1,1
1,4,7,12,7,1,7,1,3,0,0,0
1,4,7,11,6,1,6,1,3,1,1,1
2,3,5,9,3,0,5,1,3,1,0,0
7,3,7,4,7,1,8,0,4,0,0,0
7,3,7,11,7,1,5.900900900900901,1,3,1,0,0
1,4,1,7,2,1,5.900900900900901,1,3,1,0,1
1,4,7,4,5,0,7,1,3,1,0,0
1,4,7,9,2,1,4,1,2,0,0,0
2,3,6,4,6,1,8,1,2,1,1,0
7,3,7,9,7,0,5,1,4,1,0,0
6,3,7,11,5.5009900990099005,0,5.900900900900901,0,2,0,0,0
5,2,6,9,1,1,5.900900900900901,1,1,NA,0,0
6,2,5,4,5,1,5.900900900900901,0,3,NA,0,1
1,4,7,9,7,0,9,1,3,1,0,0
2,4,6,11,7,1,6,1,4,0,1,1
2,3,3,8,7,1,5.900900900900901,1,3,1,0,1
2,1,6,8,1,1,3,0,2,1,0,1
3,3,7,11,6,0,11,1,4,0,1,1
4,3,7,11,5,1,11,0,4,0,0,1
6,2,1,12,6,0,9,0,2,1,0,1
1,4,1,10,7,1,5.900900900900901,0.7766599597585513,4,1,0,1
3,3,6,4,5,1,6,1,4,0,0,1
1,2,7,6,5,0,5,1,3,1,1,1
5,2,4,10,6,1,10,1,1,1,0,1
6,4,6,12,6,1,6,1,3,1,0,1
3,4,1,7,5,0,6,1,3,1,1,1
7,4,7,6,7,1,5,1,4,0,1,1
2,3,6,11,7,0,9,1,3,1,1,1
6,2,6,9,5,1,2,1,4,0,1,1
6,3,6,7,6,1,4,1,3,0,1,1
2,4,6,11,7,0,10,1,4,1,0,1
1,4,7,11,7,0,5.900900900900901,1,2,1,0,1
1,4,6,11,7,0,4,1,4,1,1,1
6,3,7,11,2,0,1,1,1,0,0,1
2,3,6,12,2,1,2,1,3,1,0,1
3,3,6,8,3,0,3,1,4,1,1,1
6,4,6,11,7,1,7,0,3,0,0,1
7,3,6.101593625498008,8,1,1,4,1,NA,NA,0,1
1,3,6,11,7,0,11,1,4,1,0,1
1,3,7,4,7,1,4,1,2,1,1,1
6,3,7,4,7,0,7,1,4,NA,0,1
6,3,2,4,7,1,3,1,3,0,1,1
2,3,5,11,2,1,8,1,3,1,0,1
1,4,7,13,7,1,11,0,3,1,0,1
7,4,7,10,7,1,5,1,4,0,1,1
5,4,7,11,2,0,6,0,4,1,1,1
1,3,5,9,7,0,8,1,4,1,0,1
3,3,6,7,6,1,6,1,4,1,0,1
4,1,6,9,1,1,5,1,2,0,0,1
1,4,6,11,7,1,3,1,3,1,0,1
6,3,6,8,7,0,4,1,4,1,1,1
1,4,7,11,5,1,5.900900900900901,1,4,NA,0,1
2,4,7,7,7,1,7,1,4,1,0,1
5,3,6,9,6,0,6,0,2,0,1,1
3,4,7,12,7,0,11,1,4,1,0,1
3.5060975609756095,3,2,8,1,1,3,0,3,1,0,1
1,4,6,11,6,1,4,1,4,1,1,1
5,3,6,11,4,1,4,1,2,1,1,1
4,3,7,9,7,1,6,1,4,1,0,1
4,2,1,5,7,1,1,1,2,1,0,1
5,4,7,8,7,1,8,1,3,1,0,0
2,2,4,11,4,1,1,1,1,1,0,0
2,4,6,11,5,1,11,1,4,1,0,0
3.5060975609756095,4,7,13,7,1,5.900900900900901,1,3,1,0,0
1,4,7,11,7,1,3,1,4,1,0,0
3,4,7,9,5,1,4,1,4,1,0,0
2,3,7,11,7,1,9,1,4,0,1,0
1,4,7,12,7,1,10,1,4,0,0,0
7,3,7,9,7,1,5,1,2,0,0,0
5,3,7,11,6,0,3,1,2,1,0,0
2,4,7,11,7,0,4,1,4,1,0,0
6,4,7,11,7,1,9,1,3,1,0,0
7,4,7,9,7,1,8,1,4,1,0,0
6,4,7,11,7,0,5.900900900900901,1,4,0,0,0
2,3,7,10,5,1,3,0,2,1,1,0
7,3,6,7,6,1,3,0,4,0,0,0
3,4,6,12,7,0,9,1,4,1,0,0
6,4,7,9,7,0,6,0.7766599597585513,3,1,0,0
2,2,7,7,3,1,6,0,3,NA,0,0
6,4,1,13,7,1,4,0,4,0,0,0
5,3,7,11,6,1,4,1,3,1,0,0
2,2,7,4,1,1,5,0,1,1,0,0
6,4,7,4,7,0,2,0,4,0,0,0
4,3,6,8,6,1,2,1,4,1,0,0
2,4,7,12,7,0,11,0,4,1,0,0
1,4,7,9,6,1,5.900900900900901,1,4,0,1,0
2,3,7,11,6,1,8,1,2,1,0,0
1,4,7,9,7,0,7,1,4,1,0,0
6,4,7,11,7,0,9,1,3,0,0,0
1,4,7,4,5,0,2,1,3,1,0,0
1,4,7,9,5,0,5.900900900900901,1,3,NA,0,0
6,4,4,10,2,1,9,1,3,0,0,0
1,4,7,7,7,1,5,1,4,0,0,0
1,4,7,2,7,0,5,0,3,NA,0,0
6,3,7,9,7,1,6,0,3,0,1,0
2,4,7,11,7,1,3,1,4,1,0,0
4,4,7,11,7,0,10,1,4,1,0,0
5,4,6,11,7,0,5.900900900900901,0,4,0,0,0
1,3,6,11,7,1,5.900900900900901,1,4,1,0,0
1,4,6,12,7,1,7,1,4,1,0,0
7,3,7,4,4,1,4,0,4,0,0,0
1,3,6,4,4,0,11,1,3,1,0,0
6,4,7,9,7,1,8,1,4,0,0,0
1,3,4,4,6,1,4,1,4,0,0,0
